
1FA,100,0.995985,0.995430,0.995707,0.007168,1.471681
2FASketch,100,0.996111,0.995555,0.995832,0.003343,1.440723
chainsketch,100,0.995790,0.995010,0.995397,0.005889,1.681227
cmheap,100,0.971462,0.243101,0.388873,13.842378,71.361857
countheap,100,0.825000,0.206715,0.330583,97.494099,288.215250
elastic,100,0.944867,0.998256,0.970819,0.043614,12.706649
spacesaving,100,0.441556,0.643607,0.523743,58.451511,538.792437
1FA,200,0.997488,0.998935,0.998210,0.001126,0.492017
2FASketch,200,0.997488,0.998935,0.998210,0.001126,0.492017
chainsketch,200,0.998993,0.998567,0.998779,0.001341,0.602550
cmheap,200,0.987365,0.494433,0.658879,3.134956,19.026448
countheap,200,0.881250,0.441602,0.588339,41.794657,111.004875
elastic,200,0.989752,0.999811,0.994755,0.007210,2.448555
spacesaving,200,0.324839,0.946873,0.483707,28.178806,201.705393
1FA,300,0.999244,0.999812,0.999528,0.000480,0.212919
2FASketch,300,0.999244,0.999812,0.999528,0.000480,0.212919
chainsketch,300,0.999560,0.998821,0.999190,0.000619,0.277608
cmheap,300,0.988492,0.742582,0.848025,1.758851,9.571131
countheap,300,0.905583,0.680744,0.777188,22.570193,60.144000
elastic,300,0.996687,1.000000,0.998340,0.001832,0.776147
spacesaving,300,0.879781,1.000000,0.936038,0.107105,23.572291
1FA,400,0.999687,0.999749,0.999718,0.000304,0.133971
2FASketch,400,0.999687,0.999749,0.999718,0.000304,0.133971
chainsketch,400,0.999751,1.000000,0.999875,0.000343,0.150243
cmheap,400,0.971732,0.973308,0.972466,1.075604,6.130707
countheap,400,0.916625,0.918685,0.917603,13.019509,35.431750
elastic,400,0.997867,1.000000,0.998932,0.000890,0.369317
spacesaving,400,0.949396,1.000000,0.974035,0.032866,10.463120
1FA,500,0.999811,0.999937,0.999874,0.000146,0.064869
2FASketch,500,0.999811,0.999937,0.999874,0.000146,0.064869
chainsketch,500,1.000000,0.999877,0.999938,0.000192,0.084285
cmheap,500,0.985851,1.000000,0.992874,0.614961,2.492859
countheap,500,0.941299,0.992621,0.966265,9.296581,22.794364
elastic,500,0.998995,1.000000,0.999497,0.000435,0.186931
spacesaving,500,0.971166,1.000000,0.985367,0.017067,6.200992
